Date,Open,High,Low,Close,Adj Close,Volume
2023-03-03,705.4500122070312,713.8499755859375,703.0499877929688,709.0,709.0,365
2023-03-06,713.7999877929688,726.9500122070312,713.7999877929688,718.5,718.5,756
2023-03-08,711.0,717.0,711.0,711.0,711.0,328
2023-03-09,718.0499877929688,732.5,705.2000122070312,729.4500122070312,729.4500122070312,5595
2023-03-10,715.6500244140625,723.9500122070312,702.6500244140625,705.4500122070312,705.4500122070312,1959
2023-03-13,707.7999877929688,707.7999877929688,695.0999755859375,704.75,704.75,2018
2023-03-14,693.0,704.5999755859375,687.0,688.8499755859375,688.8499755859375,1936
2023-03-15,695.6500244140625,709.9500122070312,668.0,671.6500244140625,671.6500244140625,3171
2023-03-16,675.0499877929688,701.0,675.0499877929688,699.0499877929688,699.0499877929688,6439
2023-03-17,692.0,698.7999877929688,692.0,692.0499877929688,692.0499877929688,268
2023-03-20,703.0,709.9500122070312,690.0,702.9500122070312,702.9500122070312,9574
2023-03-21,702.9500122070312,710.0,702.0,706.6500244140625,706.6500244140625,691
2023-03-22,709.0,711.6500244140625,701.0999755859375,704.6500244140625,704.6500244140625,318
2023-03-23,698.0499877929688,708.0,693.0,696.25,696.25,1111
2023-03-24,696.25,702.25,695.0,696.1500244140625,696.1500244140625,623
2023-03-27,694.0,714.0,682.0,688.25,688.25,8942
2023-03-28,685.25,693.25,628.75,635.0999755859375,635.0999755859375,13400
2023-03-29,635.1500244140625,650.0,613.25,628.1500244140625,628.1500244140625,12804
2023-03-31,618.0,620.0,576.0,594.2000122070312,594.2000122070312,38289
2023-04-03,600.0499877929688,624.0,582.4500122070312,592.1500244140625,592.1500244140625,32757
2023-04-05,604.9500122070312,623.0,599.25,619.5499877929688,619.5499877929688,9497
2023-04-06,619.8499755859375,624.75,615.0,616.5499877929688,616.5499877929688,1575
2023-04-10,622.6500244140625,639.6500244140625,622.5999755859375,638.7999877929688,638.7999877929688,2858
2023-04-11,639.6500244140625,640.0,631.1500244140625,634.6500244140625,634.6500244140625,1610
